sex,sexpref,age,alex,alexander,alfred,ambroz,arnold,arpad,bedrich,blazej,bretislav,cestmir,ctirad,dalimil,david,frederik,gabriel,herbert,herman,hynek,igor,ivan,ivan2,jan,josef,justin,kamil,kazimir,kristian,lumir,mike,mikulas,milos,miroslav,miroslav1,mojmir,oldrich,oleg,patrik,petrb,pravoslav,rehor,robin,rudolf,slavomir,stefan,svatopluk,tomas,tomasi,vincent,vladislav,vlastimil
male,women,36.4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1
male,women,31.6,3,4,5,4,5,6,4,5,4,6,4,5,5,4,6,5,2,3,5,5,4,4,4,3,4,4,3,5,6,6,5,3,2,4,3,4,5,5,3,4,4,5,5,2,6,3,3,2,5,5
male,women,31.3,3,3,2,2,2,4,2,3,4,3,3,2,3,3,3,4,1,3,2,4,2,2,3,5,3,2,3,4,3,3,4,2,2,2,2,2,2,3,1,3,1,3,2,1,3,1,1,2,3,4
male,women,19.4,2,3,3,2,2,2,1,5,2,3,5,1,4,3,4,3,1,2,2,2,1,2,1,4,1,1,1,4,3,2,3,1,1,2,1,2,1,2,1,2,1,2,3,1,2,2,2,1,2,2
male,women,19.2,3,3,2,3,3,3,3,5,4,3,2,4,7,4,4,3,3,3,3,3,3,4,4,3,2,2,2,4,6,4,3,2,3,2,3,4,5,4,1,5,1,3,3,3,3,3,2,1,2,5
male,women,21.1,2,4,2,1,3,1,2,3,5,2,5,1,4,2,3,3,2,1,4,2,2,4,5,2,3,2,1,3,2,3,2,4,5,1,2,2,1,5,3,2,2,1,2,1,2,2,5,1,4,2
male,women,22,2,2,3,1,1,3,1,3,3,1,1,1,2,1,1,2,1,2,2,2,1,1,4,1,1,2,1,3,2,3,3,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,3,2,3,1
male,women,28.5,2,5,3,3,6,6,4,3,4,3,2,3,4,3,3,4,2,3,3,3,3,3,3,5,3,3,1,4,5,5,6,3,3,5,4,5,3,4,2,5,3,5,3,3,4,3,2,2,4,5
male,women,20.6,4,4,5,3,4,2,4,3,5,5,4,4,5,3,4,5,5,5,3,5,1,5,3,4,3,1,3,4,6,5,5,3,5,3,3,5,3,4,3,6,2,3,3,3,3,3,3,2,3,6
male,women,23.2,2,4,3,2,2,3,2,2,4,4,2,4,3,2,5,3,2,2,3,3,3,2,4,4,3,1,2,4,5,3,5,2,3,1,2,2,3,4,2,5,3,4,3,2,3,2,2,1,3,4
male,women,23.9,5,5,5,5,5,7,5,6,5,3,7,5,5,5,5,5,7,3,7,7,4,7,5,4,5,5,5,5,4,5,7,7,7,7,7,7,5,4,5,5,7,7,2,4,5,7,5,5,5,1
male,women,21.4,3,7,1,1,5,5,5,2,6,2,2,6,7,4,5,4,1,3,2,3,4,1,3,4,1,2,1,4,5,5,6,2,1,5,1,4,2,3,1,2,2,5,6,1,6,3,2,1,7,5
male,women,27.9,2,5,3,4,2,6,4,3,6,4,4,3,5,3,4,2,1,3,2,6,3,3,2,5,4,2,1,3,6,5,6,2,2,4,2,5,2,3,3,3,2,4,5,1,6,3,1,1,6,5
male,women,21.8,1,2,1,1,3,1,1,2,3,1,2,2,1,1,1,2,1,2,4,2,3,1,3,1,1,1,1,2,3,4,1,1,1,1,1,3,1,3,1,3,1,2,1,1,2,1,1,1,1,2
male,women,30.9,2,1,2,1,1,2,1,1,1,1,3,1,4,3,4,2,1,2,1,1,1,2,1,3,1,1,1,1,3,1,3,1,3,1,1,1,1,1,1,2,1,4,1,2,1,1,1,2,1,1
male,women,22.3,3,4,1,1,2,3,4,1,5,5,5,2,5,3,5,1,1,2,2,4,3,5,4,5,1,1,3,6,5,4,5,1,3,3,3,4,1,4,1,3,1,5,2,1,4,1,3,1,1,5
male,women,37.9,4,5,4,2,2,5,3,4,5,4,5,3,4,5,3,5,4,5,5,4,2,2,3,4,5,3,3,4,4,4,5,3,4,4,3,4,2,4,2,3,2,5,4,2,4,3,4,2,4,5
male,women,20.9,3,6,2,3,3,4,4,2,3,4,3,3,4,3,5,3,1,1,2,5,2,2,6,4,2,1,1,3,5,3,2,1,4,5,1,5,1,4,2,4,2,5,3,2,6,2,1,1,2,4
male,women,28.3,1,2,1,3,3,3,1,3,3,4,3,1,5,1,2,4,1,3,2,2,2,3,2,4,2,1,2,3,2,2,5,1,2,3,2,2,2,5,1,2,1,3,2,1,3,1,3,1,2,3
male,women,28.4,2,5,4,3,2,4,2,3,3,4,3,2,2,4,3,3,2,4,2,4,4,4,3,5,2,3,2,5,5,3,4,2,3,3,2,4,2,3,2,3,2,2,1,2,3,2,1,1,4,4
male,women,18.3,2,4,2,4,2,3,3,2,2,2,3,3,3,2,3,3,2,4,2,2,2,2,4,3,2,2,2,4,3,3,2,2,4,4,2,3,2,2,2,3,2,3,2,2,2,3,2,2,2,4
male,women,18.2,3,5,3,3,4,3,3,5,3,4,4,3,6,4,4,5,3,3,4,4,3,3,4,5,4,2,4,3,5,5,5,2,4,3,3,4,3,3,4,5,3,4,2,4,5,3,5,3,5,3
male,women,36.8,4,5,1,3,3,5,3,3,5,4,2,2,3,1,3,4,1,1,3,4,1,4,2,5,1,1,1,5,2,2,4,1,2,3,2,5,1,2,1,3,1,3,3,1,3,3,1,1,5,3
male,women,30.1,3,5,2,2,2,5,1,2,5,4,3,3,4,1,2,5,1,2,2,2,2,2,4,5,3,1,1,6,4,3,3,1,2,3,2,5,2,3,1,3,3,6,4,2,2,2,2,1,4,4
male,women,20.9,2,4,3,4,3,5,3,6,4,4,5,3,7,5,5,5,2,4,6,5,5,3,6,5,4,2,2,7,4,6,5,2,4,2,4,5,3,5,3,6,4,3,5,4,4,3,5,2,5,4
male,women,20,3,3,2,3,3,3,3,3,4,3,5,4,2,3,2,3,2,3,3,3,3,4,3,4,2,4,3,2,5,4,3,3,2,3,3,3,2,4,2,7,3,4,3,4,2,3,3,2,5,4
male,women,24.8,4,6,3,4,5,4,3,4,5,4,4,4,5,3,4,5,1,4,3,3,3,4,5,5,3,2,2,6,5,4,6,2,3,2,3,6,3,4,1,4,2,5,4,2,6,5,2,1,5,4
male,women,22.5,3,5,3,4,5,4,5,6,4,5,5,3,5,3,6,4,3,5,6,3,3,3,4,5,3,3,1,6,6,6,4,4,3,4,4,2,2,4,2,4,4,4,6,3,6,4,5,3,6,6
male,women,32.7,1,2,3,1,2,4,2,3,4,5,3,3,4,3,3,5,1,4,4,4,3,3,2,3,3,1,1,3,6,4,5,1,2,1,3,2,2,4,2,2,2,2,5,2,3,3,2,1,5,2
male,women,21.2,3,4,4,3,2,3,1,4,4,4,3,4,4,3,4,2,1,3,3,2,3,2,4,3,3,2,1,3,6,5,3,1,2,3,2,3,3,3,2,5,4,2,3,2,3,2,3,1,2,3
male,women,38.2,2,3,2,3,3,4,3,3,5,3,3,3,5,3,4,5,2,3,3,4,3,2,3,3,2,2,2,3,3,2,4,2,3,2,2,3,1,3,2,3,2,3,3,2,3,3,2,2,4,3
male,women,18.5,3,4,3,2,2,2,2,3,4,2,2,2,6,3,3,2,2,3,3,2,3,2,2,4,3,3,4,2,4,3,3,2,3,2,2,4,3,2,2,4,3,3,4,1,5,2,3,3,4,2
male,women,23.2,3,4,3,3,3,4,3,3,3,4,4,3,5,2,4,5,3,4,3,3,4,3,3,4,3,3,3,4,6,3,3,2,3,4,3,4,3,4,2,3,3,4,4,3,4,3,2,1,3,3
male,women,18,4,3,1,3,3,5,3,3,5,4,3,4,4,2,2,5,2,2,2,2,3,3,3,4,2,3,1,5,3,4,3,3,4,3,2,4,3,3,2,4,2,2,3,3,3,1,2,1,3,4
male,women,29.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,women,36,3,4,4,3,3,5,3,4,5,4,3,2,5,5,3,6,2,4,2,5,4,2,5,4,2,1,1,4,5,4,5,4,3,3,3,4,4,5,3,5,5,4,3,2,4,3,4,4,5,5
male,women,31.9,2,4,4,2,3,1,3,4,4,4,2,2,2,4,2,3,1,4,2,3,4,2,3,3,3,1,1,4,4,3,1,1,4,3,3,4,3,4,1,4,2,1,4,1,4,1,1,1,1,2
