sex,sexpref,age,agata,alexandra,alica,anastazie,andrea,anezka,apolena,bera,blazana,bohdana,christianne,darjal,dobromila,dorota,edita,eleanora,elena,ema,gabriela,galina,gejza,ida,ingrid,ingrida,irena,jitka,karina,katy,livia,marika,matylda,milena,miloslava,nicol,perla,radmila,roxanne,saskie,slavena,stela,tamara,valerie,viktoria,viola,vlasta,zelmira,zita,zlata,zlatica,zora
male,women,23.4,3,4,3,6,5,5,2,2,3,1,5,2,2,4,4,3,3,6,3,4,1,1,5,3,2,3,2,2,2,2,5,4,5,5,4,5,5,6,4,1,2,5,2,3,6,6,4,5,5,2
male,women,19.9,4,4,2,5,6,2,3,3,5,4,3,4,4,5,2,4,2,3,3,4,4,2,3,4,3,3,5,4,2,3,3,3,3,5,5,5,4,2,2,4,5,1,3,4,5,4,3,5,5,4
male,women,28.9,2,4,2,3,3,3,4,3,6,2,2,3,4,5,1,2,5,4,3,4,2,2,2,4,3,4,5,2,4,3,2,5,4,4,2,5,2,1,2,3,4,4,1,4,4,5,3,3,5,2
male,women,33.7,3,5,3,5,5,4,4,2,5,4,4,4,5,6,4,5,4,4,3,6,2,3,3,4,4,4,5,3,5,5,5,5,5,5,4,3,4,3,4,5,4,5,2,4,5,6,5,4,6,3
male,women,34.9,2,7,2,5,3,4,6,3,3,6,3,3,6,6,3,3,6,3,3,6,3,2,5,7,2,3,4,2,6,3,3,2,3,3,4,5,7,2,3,3,2,6,2,6,7,6,2,2,7,2
male,women,37.2,4,4,3,5,5,3,4,3,5,5,3,4,3,4,3,2,5,4,4,6,4,3,3,4,3,4,5,5,4,3,4,5,4,4,4,5,4,3,2,3,3,4,4,5,6,4,3,5,4,2
male,women,25,2,1,2,5,5,3,2,3,3,1,1,1,2,1,1,1,1,3,4,2,1,1,2,2,1,5,4,2,1,1,1,1,2,2,4,4,3,2,1,1,1,1,2,3,5,2,1,3,1,1
male,women,28.4,4,6,4,6,6,6,4,3,6,2,4,5,4,3,4,3,5,4,2,6,6,1,5,4,6,5,5,3,5,4,5,4,4,4,3,6,5,3,5,5,6,5,2,5,5,4,4,5,6,4
male,women,28.3,5,5,3,5,4,4,4,4,5,3,4,4,5,4,4,4,5,4,3,5,5,4,4,4,5,4,4,4,5,4,6,4,4,5,4,4,5,4,2,4,4,6,4,4,4,5,4,4,5,4
male,women,30,3,3,2,5,4,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,2,4,4,4,2,3,4,3,3,5,2,3,3,3,3,3,3,3,2,3,2,2,4,4,4,4,2,3,3,2
male,women,32.3,4,2,2,5,3,3,4,2,5,2,4,2,3,3,3,3,3,4,3,4,2,2,2,4,5,2,4,1,2,2,5,4,4,5,2,4,4,2,1,2,6,6,4,3,5,3,4,2,3,3
male,women,34,6,5,2,6,6,4,5,4,3,2,1,2,5,7,4,5,3,4,1,6,3,3,6,3,3,2,4,2,2,4,5,3,1,5,4,3,2,1,2,1,3,4,2,6,5,5,5,4,7,2
male,women,30.3,4,6,5,6,3,5,6,1,6,3,2,5,6,5,2,5,7,4,3,7,3,3,6,4,3,4,4,4,5,3,5,4,5,6,7,6,3,4,1,4,7,6,3,5,5,7,4,4,5,4
male,women,26.4,4,5,2,4,2,4,3,3,5,2,1,2,3,6,2,2,2,2,2,5,3,2,2,4,3,2,3,2,2,4,3,5,2,2,2,5,6,2,2,2,5,7,2,3,4,5,4,3,7,1
male,women,33.3,6,7,2,7,4,2,4,6,4,2,4,3,3,6,3,4,7,6,4,7,2,1,1,2,2,3,5,2,3,7,5,5,6,4,1,2,5,5,1,4,4,7,3,4,5,7,6,2,5,1
male,women,26.6,1,1,1,5,3,1,1,1,3,3,1,1,1,3,4,1,2,1,3,1,3,1,2,1,1,2,2,5,3,1,2,3,1,3,3,1,1,1,1,1,2,1,1,4,2,5,1,3,2,3
male,women,24,6,5,6,6,6,5,5,3,4,4,3,4,5,4,5,6,6,5,4,5,6,4,5,3,5,5,4,4,5,5,6,5,4,6,5,5,5,4,6,6,7,4,3,5,4,5,5,4,4,5
male,women,24.7,4,3,2,6,7,2,3,2,4,3,2,3,3,4,1,2,2,3,3,4,4,3,4,4,3,2,4,2,2,3,2,3,3,2,6,6,5,1,1,2,4,1,3,6,5,6,4,5,4,1
male,women,21,5,5,4,4,3,5,4,3,6,3,6,3,5,5,5,3,5,5,3,6,4,3,5,4,4,4,5,5,5,4,2,5,5,5,3,5,5,3,2,4,4,2,3,5,5,2,5,3,4,3
male,women,19.6,1,3,2,4,5,4,3,1,3,1,2,2,4,3,3,3,5,5,1,4,2,3,2,4,3,1,3,2,2,2,3,2,3,2,1,3,2,3,2,4,3,4,2,3,3,6,2,2,2,3
male,women,26,3,2,4,2,6,6,6,3,5,4,4,7,5,3,5,3,5,4,3,5,5,6,6,5,5,3,4,1,5,5,3,6,2,3,4,6,7,2,3,7,6,2,3,4,5,6,7,2,5,2
male,women,27.6,7,5,2,1,3,2,6,2,2,3,2,4,5,3,3,3,6,5,4,2,3,2,4,4,7,6,2,3,4,3,1,5,5,7,2,6,4,4,2,2,2,7,6,3,5,4,5,2,2,4
male,women,31.6,3,4,1,4,2,3,2,1,3,3,2,5,4,5,1,4,2,3,2,4,4,2,2,2,5,2,3,2,4,2,2,4,2,3,1,2,3,2,1,3,3,3,2,2,4,7,2,1,4,1
male,women,28,4,5,5,6,5,3,5,5,6,4,3,3,5,6,1,3,5,4,4,7,2,2,6,5,5,5,5,3,6,4,6,4,4,6,4,6,5,3,2,3,4,4,2,3,3,7,3,5,7,3
male,women,25.5,1,1,1,4,1,1,1,1,2,3,2,1,3,1,1,1,2,1,1,2,1,1,3,2,2,2,1,1,2,2,1,1,1,1,1,3,1,2,1,1,1,1,1,2,2,1,1,1,2,1
male,women,19.7,4,2,1,7,6,6,4,1,6,5,5,2,7,2,6,2,1,5,2,6,3,2,6,3,5,2,6,2,2,5,6,2,3,3,3,4,2,5,1,1,2,7,2,6,5,5,5,6,5,6
male,women,30,3,7,3,6,5,2,3,3,2,2,3,4,5,5,3,4,6,3,3,6,5,3,6,3,4,3,1,2,5,1,4,5,4,6,2,2,3,3,1,1,3,4,3,3,6,2,1,5,3,3
male,women,27.6,3,4,4,3,5,3,4,3,5,3,4,2,6,3,2,2,2,2,3,3,2,3,4,3,5,6,3,3,2,5,3,3,2,5,3,5,4,5,4,2,2,3,3,3,5,5,2,3,5,2
male,women,21.5,6,3,2,6,3,4,4,2,5,2,3,3,5,3,2,5,3,5,2,5,3,3,5,5,5,3,5,3,4,3,5,5,4,5,3,4,6,2,2,3,4,6,2,5,5,5,3,3,6,3
male,women,22.8,4,5,5,3,4,3,5,2,4,4,3,3,3,5,4,4,5,5,4,3,3,3,3,4,3,4,3,4,4,3,2,4,5,4,4,4,3,4,2,3,4,3,3,4,5,4,5,3,5,3
male,women,32,4,1,2,6,4,1,2,2,5,1,3,2,3,1,2,2,3,4,2,7,1,1,3,1,2,5,3,4,2,3,6,4,1,2,4,3,6,2,1,3,2,1,2,5,4,7,2,5,4,3
male,women,28.4,3,3,2,4,3,3,2,2,2,2,2,2,3,4,2,2,4,3,2,3,2,2,3,3,3,4,3,2,4,3,2,4,4,4,3,4,4,2,2,2,4,5,2,3,3,2,4,2,3,2
male,women,29.3,2,5,2,6,3,4,6,1,5,2,5,4,3,2,4,3,6,2,2,5,4,4,1,4,5,4,5,2,6,4,3,2,2,5,2,5,6,2,2,2,2,2,3,5,5,4,2,2,6,5
male,women,37.7,2,5,3,4,5,4,4,3,3,2,4,2,4,4,3,1,2,4,2,3,2,3,4,4,4,6,5,4,2,3,5,1,3,3,3,2,4,1,1,3,3,3,3,4,5,2,4,6,5,1
male,women,21.2,3,5,2,6,5,4,4,4,6,4,4,2,5,6,3,3,5,4,3,3,3,2,5,5,5,5,5,4,4,5,3,5,4,5,4,5,5,3,3,5,6,6,5,4,5,5,4,5,4,4
male,women,25.6,6,5,3,5,3,5,5,1,4,2,3,2,4,6,7,5,5,5,6,6,4,2,6,3,4,3,5,3,5,4,2,6,5,5,2,4,7,1,2,4,6,7,2,4,6,6,6,5,3,3
male,women,23.5,2,2,2,4,2,1,4,1,3,1,2,1,1,5,2,1,3,2,1,3,2,2,3,2,2,1,2,3,3,1,1,1,4,1,5,2,3,1,1,1,4,3,1,3,2,2,4,1,3,2
male,women,23.1,3,2,2,6,3,2,1,1,4,3,2,1,2,3,2,3,1,3,1,4,1,1,2,4,2,2,2,3,2,2,1,1,3,2,2,5,4,1,1,3,2,1,3,2,3,1,1,4,4,1
male,women,20.7,3,3,3,3,3,3,5,3,5,4,3,4,4,3,3,4,4,3,3,5,3,3,3,4,4,3,4,5,3,3,3,3,4,4,5,4,4,3,3,4,3,3,4,4,4,3,3,3,4,3
male,women,24.9,1,6,4,4,3,2,2,1,3,1,2,2,1,5,1,2,6,3,1,7,5,1,4,2,1,6,2,1,3,1,3,4,5,1,2,7,6,1,1,1,5,6,1,3,5,4,2,4,7,1
male,women,24.3,4,4,4,4,5,4,3,3,4,4,1,3,5,4,4,3,4,5,5,5,5,2,5,3,3,6,5,2,3,4,3,5,4,3,5,5,3,3,2,3,5,5,3,4,4,6,5,4,4,2
male,women,23.7,3,2,2,4,3,5,4,2,5,5,6,2,6,5,2,3,6,5,1,6,3,2,1,4,2,4,4,3,5,2,1,5,6,5,3,5,7,2,1,2,4,1,3,4,4,5,6,5,3,4
male,women,20.3,3,2,1,6,3,4,6,2,5,2,2,6,6,2,4,3,7,4,3,4,6,2,5,5,2,4,6,5,2,4,2,6,6,5,2,4,5,4,6,2,7,7,2,5,3,4,6,5,4,3
male,women,19.1,1,7,7,4,7,6,5,4,7,4,5,2,7,2,6,7,3,2,5,5,6,1,6,7,3,5,6,7,2,1,7,3,4,4,6,7,7,3,4,4,4,5,1,5,7,5,4,1,5,4
male,women,22,4,5,1,6,4,3,3,3,6,2,5,4,5,2,2,4,6,5,2,3,2,5,4,5,4,5,4,3,5,5,3,3,6,3,2,4,5,4,4,5,5,7,2,2,5,6,3,2,7,5
male,women,25.9,2,7,1,7,5,4,3,1,6,1,2,1,2,5,2,1,5,7,1,5,2,1,4,2,3,3,3,1,7,4,1,2,3,7,4,1,6,1,4,2,6,4,6,1,3,3,6,1,7,5
male,women,32.1,4,4,4,5,4,4,6,4,4,5,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,6,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
male,women,31.1,5,4,1,3,4,2,5,3,5,5,2,2,3,2,4,3,4,1,4,2,1,1,4,4,1,4,1,4,3,1,1,2,2,2,4,1,2,2,1,1,1,1,4,2,4,4,1,2,1,3
male,women,40.1,7,7,7,7,2,7,7,7,2,7,7,7,7,7,1,7,7,7,7,7,7,1,7,4,7,7,7,7,7,7,7,7,1,7,4,7,7,7,7,7,2,7,3,7,7,7,7,7,7,7
male,women,20.2,4,4,1,4,4,4,5,2,6,5,6,4,5,6,3,5,6,6,5,6,4,3,4,5,4,5,4,4,5,3,4,7,5,4,4,5,6,4,4,4,4,7,4,4,6,3,6,5,4,5
male,women,30.6,7,6,2,7,7,5,7,5,4,5,7,6,6,6,5,6,7,5,6,6,3,3,5,4,4,4,5,6,5,4,7,6,5,3,3,5,5,4,5,2,6,7,5,6,6,6,6,7,6,7
male,women,20.2,4,7,1,3,3,3,4,4,5,5,5,2,2,2,3,4,3,5,3,5,6,4,3,3,2,7,3,4,5,1,2,2,4,2,3,3,5,4,3,6,1,1,4,3,5,5,3,6,6,4
male,women,25.9,1,3,1,5,4,2,1,1,3,2,1,1,1,1,1,1,2,1,1,1,2,2,3,1,1,2,3,2,5,3,3,3,2,3,1,4,5,1,1,1,1,1,1,5,4,5,1,2,4,1
male,women,18.2,3,5,4,6,6,6,4,4,3,4,4,4,5,4,2,4,5,6,2,6,3,3,5,4,5,3,3,3,4,3,6,6,2,6,4,5,4,5,4,3,4,4,1,4,5,5,4,4,7,2
