sex,sexpref,age,agata,alexandra,alica,anastazie,andrea,anezka,apolena,bera,blazana,bohdana,christianne,darjal,dobromila,dorota,edita,eleanora,elena,ema,gabriela,galina,gejza,ida,ingrid,ingrida,irena,jitka,karina,katy,livia,marika,matylda,milena,miloslava,nicol,perla,radmila,roxanne,saskie,slavena,stela,tamara,valerie,viktoria,viola,vlasta,zelmira,zita,zlata,zlatica,zora
male,women,39.7,3,4,2,5,5,2,4,4,5,4,2,3,4,3,1,2,2,3,4,3,2,2,3,3,3,3,4,4,3,3,4,3,3,2,5,5,4,5,1,2,3,1,3,3,4,4,2,6,3,1
male,women,28.5,3,4,3,5,5,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,2,3,4,3,4,4,5,4,3,5,4,2
male,women,22.8,4,4,4,5,5,4,6,5,4,4,3,3,5,5,3,3,3,4,5,4,3,3,4,5,4,5,4,4,3,6,3,3,4,2,4,6,4,5,2,4,5,3,4,5,5,5,3,4,6,3
male,women,28.5,5,3,4,4,6,3,4,5,5,5,4,4,4,4,2,5,4,3,4,5,4,4,4,5,4,4,4,5,4,5,3,3,4,4,5,5,5,5,2,3,5,1,5,4,5,4,3,6,4,1
male,women,19.1,6,4,3,6,7,4,3,5,6,6,2,2,3,3,4,2,3,5,3,5,6,3,1,3,4,3,5,6,4,3,3,2,4,3,4,4,3,6,2,2,3,2,2,4,6,3,3,1,3,2
male,women,26.3,3,2,2,5,5,3,5,5,3,5,2,2,3,2,2,2,3,2,4,3,2,2,2,5,2,4,3,6,3,3,2,2,3,3,2,6,5,4,2,2,1,1,3,4,2,2,3,4,2,2
male,women,31.6,4,4,3,5,4,3,4,4,4,6,4,4,4,5,4,4,4,4,4,4,5,4,6,4,4,4,4,5,4,3,5,4,5,5,4,4,4,6,4,4,4,3,4,4,4,4,4,4,4,2
male,women,22.5,5,3,4,5,6,3,3,5,4,4,3,4,4,3,4,3,4,4,4,5,3,3,5,5,6,4,5,4,5,4,3,4,4,3,4,3,2,4,4,4,3,2,2,2,4,4,3,3,4,1
male,women,33.4,1,1,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,5,3,1,1,1,1,1,2,1,7,1,1,4,3,3,1,1,3,1,3,1,1,4,4,1
male,women,30,6,5,6,5,6,5,6,6,6,5,4,5,4,5,5,5,4,5,5,6,5,6,4,4,6,4,6,6,5,5,6,3,5,5,6,5,4,5,3,3,6,3,5,5,6,5,5,6,4,2
male,women,34.4,4,2,5,7,3,2,5,5,4,6,3,2,2,2,3,1,3,3,2,5,2,4,4,5,4,7,5,1,5,4,3,2,2,2,5,5,4,2,3,2,3,2,2,4,5,7,3,7,3,2
male,women,21.6,4,4,4,5,5,3,3,5,5,4,2,4,3,3,3,4,3,3,3,3,3,2,2,5,4,4,4,4,4,3,3,2,3,5,3,4,4,3,2,4,4,1,6,4,5,3,3,4,4,2
male,women,22,3,2,2,6,6,3,5,4,4,4,4,4,3,4,3,2,5,4,1,4,3,2,5,5,4,4,4,4,1,6,3,3,3,3,1,4,4,3,3,3,4,3,5,4,4,5,3,4,4,3
male,women,20.4,6,4,2,4,4,4,5,4,4,6,4,5,3,5,3,3,3,3,4,3,3,4,4,4,4,6,5,6,4,3,3,3,4,3,5,4,5,3,4,3,5,2,3,3,5,3,4,3,4,5
male,women,26.2,7,6,3,5,6,2,5,7,4,4,3,3,2,4,1,2,3,3,3,5,4,3,4,4,6,6,5,5,5,2,5,4,3,3,5,6,3,5,5,3,5,5,3,5,6,3,3,6,3,3
male,women,25.3,5,5,4,6,7,4,6,4,5,5,4,5,5,4,5,4,3,5,5,5,5,5,5,5,5,4,5,5,5,6,4,4,6,4,4,6,4,4,2,5,5,3,6,5,6,5,4,5,5,3
male,women,25.9,1,1,2,1,4,1,1,1,2,3,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,6,1,3,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,3,3,1
male,women,31.4,6,6,4,5,7,6,7,6,6,5,5,6,6,6,6,5,4,3,4,6,2,6,6,6,4,5,7,6,4,6,7,3,4,4,6,6,6,6,2,4,5,2,5,4,6,5,4,7,5,2
male,women,29.5,6,5,3,7,5,1,3,4,4,7,5,4,1,1,4,1,2,3,4,7,1,1,2,1,4,7,7,7,4,3,4,1,1,1,2,4,3,2,3,1,2,1,4,1,5,1,4,3,1,3
male,women,19.4,4,2,3,3,6,3,4,3,3,4,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,5,2,2,4,1,3,3,3,3,2,4,2,3,2,1,3,3,4,3,2,5,2,2
male,women,27.9,4,6,4,4,5,5,3,5,4,4,2,3,4,5,2,3,3,4,4,5,3,4,6,6,4,3,7,3,4,3,3,3,4,5,5,5,4,5,2,2,6,1,3,5,4,6,5,5,5,1
male,women,21.8,3,4,4,1,4,4,4,4,4,4,2,4,3,2,3,4,4,3,2,5,4,4,2,3,5,2,2,5,3,2,3,1,3,3,4,3,1,3,1,2,2,2,3,3,5,3,3,3,4,2
male,women,21.4,4,4,2,4,5,1,3,4,3,2,3,2,3,2,2,2,1,1,3,4,2,1,4,3,4,3,2,2,1,3,2,1,4,3,2,2,4,3,3,3,2,1,4,3,5,4,3,4,4,2
male,women,23.2,3,2,1,1,4,1,2,1,3,4,2,1,2,2,2,1,1,3,2,3,1,2,2,3,3,4,4,5,3,2,2,2,2,1,2,2,3,3,1,3,2,1,2,3,3,2,2,2,2,2
male,women,22.3,4,4,5,3,7,2,5,4,5,4,2,2,4,3,5,3,2,2,4,3,4,2,5,3,6,7,5,3,3,4,4,2,5,2,5,5,4,5,1,3,2,1,5,5,6,2,1,6,6,1
male,women,21.6,3,1,1,3,7,2,2,1,3,1,1,1,5,2,3,6,3,5,1,1,1,3,2,3,3,1,5,3,6,3,6,1,1,6,2,5,2,5,3,1,1,1,1,2,1,2,1,1,2,3
male,women,39.7,3,6,4,6,6,4,6,6,4,6,3,3,4,5,3,3,4,2,4,6,4,5,5,5,6,7,6,6,3,3,4,4,4,2,5,6,4,5,3,5,5,3,3,5,4,5,2,6,5,5
male,women,28.4,4,1,1,4,3,1,2,3,3,5,2,1,2,1,1,2,1,2,1,2,1,2,2,3,4,2,1,2,1,2,2,1,1,2,5,1,2,2,3,2,3,1,2,3,3,1,2,4,2,3
male,women,20.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,women,28.4,3,2,2,7,7,1,4,4,4,6,2,1,1,2,2,3,2,2,3,7,2,1,2,4,5,5,5,3,1,1,3,3,3,6,2,5,2,5,2,2,4,3,1,5,7,4,5,7,4,1
male,women,28.7,2,4,3,3,2,1,3,3,3,4,4,2,1,3,3,2,2,3,5,3,1,1,2,3,1,4,4,3,4,5,2,2,2,2,2,4,4,4,2,1,2,2,2,3,3,2,3,4,4,2
male,women,18.2,5,5,3,5,5,3,5,6,4,6,3,4,5,3,3,2,3,4,3,5,4,3,4,4,4,6,4,4,3,6,5,3,5,3,4,6,5,5,3,4,3,2,4,4,5,4,4,5,3,2
male,women,36.8,3,4,5,2,4,3,6,3,5,5,1,5,2,4,1,3,1,2,2,4,2,2,2,3,5,6,3,4,1,3,1,2,3,1,5,5,5,3,2,1,2,1,1,3,7,4,1,3,4,1
male,women,26.4,3,1,4,4,3,1,3,5,1,4,1,3,2,1,3,1,1,2,1,1,2,4,3,2,2,4,1,4,2,1,1,3,2,2,3,2,2,4,1,2,4,1,2,2,1,4,1,4,2,1
male,women,30.9,4,6,5,7,6,3,6,6,5,5,2,4,6,6,3,3,3,4,3,5,5,3,5,6,5,4,6,6,5,4,4,4,5,5,6,6,5,5,3,5,4,1,4,5,7,5,4,4,3,2
male,women,18,3,3,1,5,6,5,6,5,4,7,4,3,1,4,3,3,3,5,2,4,3,3,5,3,5,5,4,6,3,2,4,1,5,3,4,4,4,4,4,3,5,5,5,4,6,3,3,3,4,4
male,women,23.1,4,4,2,5,5,2,4,6,4,4,3,3,4,4,4,4,3,4,3,3,3,5,6,5,3,4,6,5,4,4,3,3,3,4,3,3,4,5,2,3,3,2,3,6,3,4,5,4,5,3
male,women,22.5,6,4,3,6,6,4,6,6,3,6,3,4,4,3,4,6,5,6,3,2,3,4,6,5,6,5,6,6,6,6,3,6,5,6,5,6,6,6,4,6,6,2,5,2,5,6,5,5,6,2
male,women,20.1,3,4,1,5,6,1,7,2,3,6,2,1,3,7,2,2,3,4,5,4,2,5,4,3,3,5,5,6,1,4,4,2,4,4,6,3,3,6,1,2,3,1,3,4,7,3,4,3,5,1
male,women,33.4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6
male,women,18.4,2,5,4,4,5,2,5,5,3,5,2,5,3,4,4,4,4,5,4,5,4,5,3,5,5,5,4,5,4,3,5,1,6,2,4,3,5,3,4,4,3,1,4,5,4,4,5,5,2,3
male,women,27.4,3,3,2,4,7,3,5,4,4,4,3,4,3,5,3,3,3,4,4,4,3,3,4,6,4,4,4,3,3,3,2,3,3,2,4,4,4,3,1,2,3,1,2,7,6,2,2,5,6,2
male,women,22.4,1,4,1,1,3,1,4,4,4,4,2,1,4,1,4,1,4,4,4,1,4,4,1,1,1,1,4,1,4,1,1,1,1,1,1,4,1,1,4,1,1,1,3,1,2,1,1,1,4,4
male,women,40.7,6,3,3,4,6,3,6,6,4,4,3,3,4,3,3,5,4,4,4,5,3,4,4,5,5,5,6,6,3,4,4,4,6,5,5,5,3,5,3,3,4,3,4,6,5,4,4,4,3,3
male,women,36.5,5,4,4,6,5,5,5,5,6,3,3,5,4,6,4,2,3,3,4,5,5,4,3,4,3,3,5,5,5,4,3,3,4,4,5,6,2,4,3,3,3,3,5,6,6,4,5,5,6,2
male,women,39.6,4,4,3,4,4,4,4,4,5,4,3,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,3,6,4,3,4,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
male,women,19.7,3,2,2,2,4,1,2,3,3,4,1,3,2,1,2,2,1,1,3,3,1,2,2,2,2,2,2,3,2,2,3,1,2,2,4,2,2,2,1,3,3,1,3,2,5,2,2,2,1,1
male,women,36,4,4,4,5,6,6,6,4,6,6,4,4,4,4,3,4,4,5,5,6,5,5,5,6,6,5,6,5,4,6,5,4,5,4,5,5,5,5,3,6,6,2,4,6,6,6,5,5,6,2
male,women,18.6,1,1,3,3,5,4,1,1,3,3,1,1,1,1,3,2,2,5,1,6,4,2,3,6,6,6,6,3,1,1,3,1,6,1,1,3,5,3,1,2,1,1,3,3,7,3,2,2,1,1
male,women,39.6,3,3,3,4,5,3,4,6,6,6,4,3,3,5,3,3,3,3,3,4,2,3,3,3,3,3,4,4,3,5,5,4,4,2,3,5,6,3,3,2,6,2,3,3,5,6,5,4,4,3
male,women,25.2,1,1,2,4,7,2,2,2,7,3,2,2,3,1,1,1,1,1,1,4,1,1,2,1,1,4,1,1,1,2,1,1,2,2,4,5,1,4,2,1,2,1,1,1,4,1,2,6,2,1
male,women,27.8,5,4,5,5,5,4,4,5,4,5,3,3,3,5,3,4,4,3,5,5,5,4,4,6,4,4,3,3,4,5,3,3,5,4,4,5,5,4,2,5,4,1,3,6,6,4,4,5,5,2
male,women,24.5,4,4,2,3,7,4,7,7,5,5,3,4,5,3,5,4,4,6,5,2,3,6,6,3,4,7,7,5,3,7,4,1,5,7,7,7,6,5,6,3,4,4,6,7,6,5,6,7,2,5
male,women,24.2,5,4,3,4,5,3,6,4,4,4,4,4,3,3,2,3,3,5,4,3,3,3,3,3,4,4,6,4,4,4,5,3,3,3,4,4,3,5,2,2,3,4,5,4,4,3,3,4,5,2
male,women,20.1,6,5,3,6,5,6,3,4,6,4,2,3,5,5,5,5,3,4,4,6,4,3,3,6,4,2,6,3,4,4,6,3,5,6,6,5,3,4,1,6,5,1,6,5,5,4,3,6,6,1
male,women,28.2,5,2,3,7,5,3,5,3,6,4,3,4,4,4,3,3,3,3,3,4,4,3,5,3,2,5,3,5,4,4,3,3,3,4,4,6,2,4,4,3,4,3,3,3,6,3,4,6,3,2
male,women,21.3,4,4,3,3,7,3,5,4,5,4,3,3,5,4,1,2,5,6,3,4,2,4,3,5,3,5,6,6,3,3,3,3,3,3,4,6,5,4,2,5,4,2,4,5,7,3,3,4,3,1
male,women,23,4,4,3,5,5,5,4,4,4,4,3,4,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,5,4,4,3,3,4,3,3,4,5,4,4,4,4,2
male,women,27.4,4,3,3,3,4,2,5,5,2,5,2,3,3,4,3,4,3,3,2,5,3,4,3,4,4,4,3,5,3,3,4,3,3,2,3,4,2,5,2,3,2,1,2,4,4,4,2,2,3,2
