face_id,face_gender,face_age,rater_id,rater_gender,rater_age,trait,rating
alex,male,20,R0001,male,36.4,att,1
alexander,male,20,R0001,male,36.4,att,1
alfred,male,30,R0001,male,36.4,att,1
ambroz,male,29,R0001,male,36.4,att,1
arnold,male,26,R0001,male,36.4,att,1
arpad,male,26,R0001,male,36.4,att,1
bedrich,male,19,R0001,male,36.4,att,1
blazej,male,22,R0001,male,36.4,att,1
bretislav,male,30,R0001,male,36.4,att,1
cestmir,male,27,R0001,male,36.4,att,1
ctirad,male,25,R0001,male,36.4,att,1
dalimil,male,26,R0001,male,36.4,att,1
david,male,23,R0001,male,36.4,att,3
frederik,male,32,R0001,male,36.4,att,1
gabriel,male,24,R0001,male,36.4,att,1
herbert,male,23,R0001,male,36.4,att,2
herman,male,33,R0001,male,36.4,att,1
hynek,male,25,R0001,male,36.4,att,2
igor,male,23,R0001,male,36.4,att,1
ivan,male,27,R0001,male,36.4,att,2
ivan2,male,27,R0001,male,36.4,att,2
jan,male,23,R0001,male,36.4,att,1
josef,male,20,R0001,male,36.4,att,1
justin,male,19,R0001,male,36.4,att,1
kamil,male,22,R0001,male,36.4,att,1
kazimir,male,23,R0001,male,36.4,att,1
kristian,male,32,R0001,male,36.4,att,1
lumir,male,20,R0001,male,36.4,att,1
mike,male,24,R0001,male,36.4,att,3
mikulas,male,27,R0001,male,36.4,att,1
milos,male,23,R0001,male,36.4,att,1
miroslav,male,22,R0001,male,36.4,att,1
miroslav1,male,27,R0001,male,36.4,att,2
mojmir,male,20,R0001,male,36.4,att,1
oldrich,male,31,R0001,male,36.4,att,1
oleg,male,30,R0001,male,36.4,att,1
patrik,male,26,R0001,male,36.4,att,1
petrb,male,27,R0001,male,36.4,att,1
pravoslav,male,26,R0001,male,36.4,att,1
rehor,male,20,R0001,male,36.4,att,2
robin,male,18,R0001,male,36.4,att,1
rudolf,male,22,R0001,male,36.4,att,2
slavomir,male,28,R0001,male,36.4,att,1
stefan,male,22,R0001,male,36.4,att,1
svatopluk,male,21,R0001,male,36.4,att,1
tomas,male,22,R0001,male,36.4,att,1
tomasi,male,19,R0001,male,36.4,att,1
vincent,male,18,R0001,male,36.4,att,1
vladislav,male,20,R0001,male,36.4,att,1
vlastimil,male,23,R0001,male,36.4,att,1
alex,male,20,R0002,male,31.6,att,3
alexander,male,20,R0002,male,31.6,att,4
alfred,male,30,R0002,male,31.6,att,5
ambroz,male,29,R0002,male,31.6,att,4
arnold,male,26,R0002,male,31.6,att,5
arpad,male,26,R0002,male,31.6,att,6
bedrich,male,19,R0002,male,31.6,att,4
blazej,male,22,R0002,male,31.6,att,5
bretislav,male,30,R0002,male,31.6,att,4
cestmir,male,27,R0002,male,31.6,att,6
ctirad,male,25,R0002,male,31.6,att,4
dalimil,male,26,R0002,male,31.6,att,5
david,male,23,R0002,male,31.6,att,5
frederik,male,32,R0002,male,31.6,att,4
gabriel,male,24,R0002,male,31.6,att,6
herbert,male,23,R0002,male,31.6,att,5
herman,male,33,R0002,male,31.6,att,2
hynek,male,25,R0002,male,31.6,att,3
igor,male,23,R0002,male,31.6,att,5
ivan,male,27,R0002,male,31.6,att,5
ivan2,male,27,R0002,male,31.6,att,4
jan,male,23,R0002,male,31.6,att,4
josef,male,20,R0002,male,31.6,att,4
justin,male,19,R0002,male,31.6,att,3
kamil,male,22,R0002,male,31.6,att,4
kazimir,male,23,R0002,male,31.6,att,4
kristian,male,32,R0002,male,31.6,att,3
lumir,male,20,R0002,male,31.6,att,5
